epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1653,1.61542,2.63555,1.70049,0.01438,0.96803,0.66925,0.3086,1.69231,2.64628,1.89089,0.00040008,0.00040008,0.00040008
2,47.9967,1.63176,1.72985,1.70444,0.94763,0.3787,0.74728,0.34815,1.7351,2.30154,2.21336,0.000789875,0.000789875,0.000789875
3,69.2614,1.64558,1.55291,1.74073,0.76425,0.50657,0.69219,0.36789,1.78172,2.10694,2.18716,0.00115216,0.00115216,0.00115216
4,91.2999,1.61142,1.5115,1.71954,0.70438,0.75253,0.80542,0.3717,1.84813,1.6231,2.24521,0.00148695,0.00148695,0.00148695
5,112.393,1.59992,1.45098,1.70594,0.74536,0.81637,0.81914,0.4042,1.8289,1.53338,2.10209,0.00144696,0.00144696,0.00144696
6,132.917,1.59363,1.46175,1.72194,0.68974,0.73567,0.72365,0.36668,1.82969,2.02093,2.18504,0.00139195,0.00139195,0.00139195
7,153.333,1.56813,1.4409,1.67258,0.64178,0.69263,0.74766,0.38439,1.80394,1.51841,1.93328,0.00133693,0.00133693,0.00133693
8,173.806,1.53312,1.37568,1.65688,0.59259,0.74495,0.71763,0.34789,1.81097,1.66385,1.94762,0.00128192,0.00128192,0.00128192
9,194.021,1.50291,1.34799,1.66037,0.83161,0.78699,0.84394,0.47214,1.6755,1.48278,1.93967,0.00122691,0.00122691,0.00122691
10,214.253,1.52211,1.30469,1.67531,0.75769,0.7816,0.82522,0.43399,1.7264,1.43165,1.8827,0.0011719,0.0011719,0.0011719
11,234.331,1.48684,1.28323,1.63335,0.72597,0.84142,0.83715,0.45381,1.66581,1.36525,1.79525,0.00111689,0.00111689,0.00111689
12,254.479,1.46886,1.23275,1.60552,0.82646,0.86245,0.87793,0.52352,1.57017,1.2921,1.75514,0.00106188,0.00106188,0.00106188
13,274.902,1.42826,1.22156,1.58927,0.86654,0.83851,0.90571,0.5342,1.57736,1.13322,1.72781,0.00100687,0.00100687,0.00100687
14,295.093,1.43513,1.21458,1.57592,0.90294,0.88357,0.91405,0.53314,1.58824,1.04675,1.77672,0.000951857,0.000951857,0.000951857
15,315.555,1.41246,1.16518,1.57077,0.89724,0.9181,0.94505,0.56241,1.51043,0.98175,1.68528,0.000896846,0.000896846,0.000896846
16,336.271,1.3963,1.15858,1.56865,0.88997,0.87334,0.90594,0.53456,1.58963,1.04545,1.68713,0.000841835,0.000841835,0.000841835
17,356.735,1.37065,1.11701,1.53433,0.84647,0.90081,0.91258,0.52484,1.5981,1.15025,1.76826,0.000786824,0.000786824,0.000786824
18,377.475,1.3698,1.13416,1.54773,0.87604,0.90444,0.93086,0.57922,1.44744,0.98724,1.63137,0.000731813,0.000731813,0.000731813
19,397.811,1.33683,1.11324,1.53866,0.91128,0.91877,0.93965,0.58215,1.52076,0.94899,1.66473,0.000676802,0.000676802,0.000676802
20,416.561,1.3488,1.07153,1.52369,0.90052,0.882,0.92645,0.57538,1.52625,0.93074,1.62986,0.000621791,0.000621791,0.000621791
21,507.925,1.36718,1.0663,1.58585,0.91301,0.86156,0.92254,0.56625,1.50862,1.06537,1.63335,0.00056678,0.00056678,0.00056678
22,528.093,1.3465,0.99446,1.57035,0.92807,0.90822,0.9473,0.5952,1.42496,0.94142,1.60274,0.000511769,0.000511769,0.000511769
23,549.041,1.34045,0.95458,1.56703,0.94456,0.92516,0.94943,0.61187,1.39183,0.90078,1.57652,0.000456758,0.000456758,0.000456758
24,562.589,1.31108,0.93159,1.5555,0.92257,0.91877,0.93695,0.59743,1.43251,0.92706,1.60094,0.000401747,0.000401747,0.000401747
25,574.991,1.28536,0.9293,1.53739,0.93266,0.9111,0.95151,0.62203,1.36163,0.90073,1.56563,0.000346736,0.000346736,0.000346736
26,587.401,1.25128,0.89514,1.51678,0.93787,0.92516,0.94918,0.62103,1.40647,0.8966,1.57097,0.000291725,0.000291725,0.000291725
27,601.204,1.24599,0.88254,1.49732,0.9562,0.93331,0.95468,0.62448,1.39471,0.86897,1.56758,0.000236714,0.000236714,0.000236714
28,614.119,1.22574,0.85546,1.48819,0.94792,0.93257,0.94924,0.62226,1.40059,0.86977,1.56677,0.000181703,0.000181703,0.000181703
29,626.441,1.20677,0.84541,1.47976,0.94886,0.92951,0.9525,0.63309,1.36648,0.83865,1.55089,0.000126692,0.000126692,0.000126692
30,639.382,1.18232,0.82627,1.463,0.95532,0.92705,0.95607,0.63496,1.37888,0.8359,1.55723,7.1681e-05,7.1681e-05,7.1681e-05
