epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3178,1.61542,2.63555,1.70049,0.01438,0.96803,0.66925,0.3086,1.69231,2.64628,1.89089,0.00040008,0.00040008,0.00040008
2,28.9827,1.63218,1.72555,1.70443,0.81541,0.40764,0.67095,0.2771,1.87705,2.29168,2.45883,0.000800657,0.000800657,0.000800657
3,41.2998,1.63186,1.55034,1.73729,0.8293,0.48645,0.71742,0.37902,1.77537,2.14816,2.13216,0.00118473,0.00118473,0.00118473
4,54.059,1.5897,1.52973,1.70949,0.59275,0.71655,0.71342,0.36019,1.81029,1.73212,2.09772,0.0015523,0.0015523,0.0015523
5,73.2744,1.60781,1.49071,1.69991,0.62798,0.70771,0.77543,0.36713,1.92084,1.64774,2.25476,0.00153497,0.00153497,0.00153497
6,93.6889,1.61604,1.47437,1.73189,0.54199,0.75302,0.68486,0.34865,1.79347,2.05698,2.18703,0.00150197,0.00150197,0.00150197
7,114.518,1.55801,1.40038,1.675,0.67833,0.78999,0.80673,0.40091,1.79162,1.51397,2.04456,0.00146896,0.00146896,0.00146896
8,130.542,1.54888,1.36945,1.66249,0.75267,0.82202,0.85007,0.48226,1.6626,1.42853,1.81326,0.00143595,0.00143595,0.00143595
9,142.919,1.50282,1.35362,1.66037,0.78037,0.7778,0.82557,0.45791,1.77819,1.4571,1.9624,0.00140295,0.00140295,0.00140295
10,155.339,1.54377,1.3377,1.68958,0.73064,0.76192,0.79981,0.43693,1.72947,1.53074,1.91624,0.00136994,0.00136994,0.00136994
11,167.199,1.49907,1.33305,1.65165,0.64747,0.82072,0.80688,0.45078,1.6499,1.45317,1.87265,0.00133693,0.00133693,0.00133693
12,179.941,1.49501,1.2539,1.62551,0.77258,0.84582,0.87578,0.49991,1.61764,1.22683,1.80741,0.00130393,0.00130393,0.00130393
13,192.851,1.4739,1.27555,1.63581,0.81872,0.80034,0.85145,0.49515,1.62979,1.24542,1.82316,0.00127092,0.00127092,0.00127092
14,204.842,1.48172,1.25859,1.61588,0.81768,0.86532,0.88076,0.547,1.52614,1.08444,1.6957,0.00123791,0.00123791,0.00123791
15,217.002,1.45164,1.19356,1.59786,0.78886,0.88136,0.90062,0.54015,1.53816,1.11522,1.71106,0.00120491,0.00120491,0.00120491
